Name,Position,Years,Height,Weight,Games,Minutes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Draft_Status
Bryce Cotton,Guard,4,73,165,32.5,33.1846,15.1923,2.83077,2.95385,0.907692,0.0846154,1.48462,1.2,0
Cameron Wright,Guard,4,77,205,26,20.9077,6.41538,2.25385,1.73077,1.06923,0.230769,1.13077,1.69231,0
Aaron Jones,Forward,4,81,220,26.25,16.8476,3.60952,3.92381,0.352381,0.571429,1.31429,0.533333,1.8381,0
Devon Beitzel,Guard,4,73,180,28,26.6071,13.9643,2.72321,1.65179,1.34821,0.0267857,1.69643,1.69643,0
Jamel Fuentes,Guard,4,76,185,33.25,23.6241,4.24812,2.98496,4.15038,1.14286,0.0676692,2.13534,2.1203,0
Alex Oriakhi,Forward,4,81,255,35.75,25.4196,8.18881,7.21678,0.342657,0.363636,1.55245,1.17483,2.33566,1
Aaron Anderson,Forward,3,79,220,30.6667,30.9891,8.31522,8.05435,0.923913,0.652174,0.5,1.23913,2.48913,0
Jerome Jordan,Center,4,84,253,31.5,24.5079,11.5635,7.45238,0.888889,0.333333,2.47619,2.03175,2.56349,1
Julian Mavunga,Forward,4,80,239,30.25,29.4876,11.4132,6.54545,2.10744,0.628099,0.595041,2.86777,2.24793,0
Kyisean Reed,Forward,2,78,215,26,26.6538,10.6538,5.5,0.903846,0.884615,1.32692,1.38462,3,0
Anthony Bennett,Forward,1,80,240,35,27.1429,16.1143,8.14286,0.971429,0.685714,1.22857,1.85714,2.28571,1
Johnathan Motley,Forward,4,82,230,25.75,24.068,11.932,6.3301,1.28155,0.427184,1.17476,1.99029,2.94175,0
Ryan Bogan,Guard,2,74,205,26.5,31.5283,12.6981,4.62264,2.62264,1.79245,0.0566038,2.4717,1.60377,0
Andre Nation,Guard,2,77,200,24.5,29.102,11.0204,3.69388,1.55102,1.63265,1.2449,1.30612,2.53061,0
Akeem Williams,Guard,1,70,190,28,31.9643,15.7857,4,3.35714,1.28571,0.0714286,3.17857,2.28571,0
Javaris Crittenton,Guard,1,77,200,29,31.8966,14.2414,3.65517,5.51724,2,0.0689655,3.89655,2.2069,1
Josh Harrellson,Forward,3,82,275,30,16.0111,4.68889,4.75556,0.411111,0.511111,0.866667,0.655556,1.45556,1
